City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Beringovskiy,RU,2022-08-06 16:18:46,63.05,179.3167,51.39,84,100,7.23
220,Bambanglipuro,ID,2022-08-06 16:18:46,-7.95,110.2833,76.08,87,100,8.97
221,Kupang,ID,2022-08-06 16:18:47,-10.1667,123.5833,74.5,89,68,8.05
222,Southbridge,US,2022-08-06 16:18:47,42.0751,-72.0334,92.95,68,48,4.0
223,Hurghada,EG,2022-08-06 16:18:47,27.2574,33.8129,93.06,41,16,14.16
224,Tallahassee,US,2022-08-06 16:15:27,30.4383,-84.2807,92.86,71,75,8.05
225,Altamira,BR,2022-08-06 16:18:48,-3.2033,-52.2064,95.09,52,75,6.91
226,Peruibe,BR,2022-08-06 16:18:48,-24.32,-46.9983,65.77,81,100,5.64
227,Lovozero,RU,2022-08-06 16:19:48,68.005,35.0117,66.24,85,100,6.31
228,Russell,US,2022-08-06 16:19:49,32.3502,-85.1999,94.37,58,0,3.44
229,Ugoofaaru,MV,2022-08-06 16:19:49,5.6667,73.0,80.91,86,100,19.8
230,Fortuna,US,2022-08-06 16:19:49,40.5982,-124.1573,61.92,91,100,0.0
231,Ixtapa,MX,2022-08-06 16:19:50,20.7,-105.2,87.22,74,100,3.44
232,Whakatane,NZ,2022-08-06 16:19:11,-37.9585,176.9854,56.52,96,100,1.01
233,Honningsvag,NO,2022-08-06 16:19:50,70.9821,25.9704,62.35,48,100,8.05
234,Tignere,CM,2022-08-06 16:19:50,7.3667,12.65,71.98,89,60,2.91
235,Provideniya,RU,2022-08-06 16:19:50,64.3833,-173.3,47.14,87,60,4.63
236,Zarasai,LT,2022-08-06 16:19:51,55.7333,26.25,59.16,91,99,7.11
237,Vizinga,RU,2022-08-06 16:19:51,61.0749,50.1031,75.7,60,31,4.03
238,Mirnyy,RU,2022-08-06 16:19:51,62.5353,113.9611,47.43,89,100,8.93
239,Homer,US,2022-08-06 16:19:52,59.6425,-151.5483,55.27,79,100,15.99
240,Axim,GH,2022-08-06 16:19:52,4.8699,-2.2405,78.3,67,12,9.66
241,Birjand,IR,2022-08-06 16:19:52,32.8663,59.2211,82.87,12,0,11.5
242,Derzhavinsk,KZ,2022-08-06 16:19:54,51.1,66.3167,75.52,38,85,12.06
243,Lichtenburg,ZA,2022-08-06 16:19:54,-26.152,26.1597,62.08,20,47,6.91
244,Luchegorsk,RU,2022-08-06 16:19:54,46.4764,134.2569,68.61,93,3,3.24
245,Arraial Do Cabo,BR,2022-08-06 16:19:55,-22.9661,-42.0278,73.36,60,75,8.05
246,Zhigansk,RU,2022-08-06 16:19:55,66.7697,123.3711,50.29,99,100,6.04
247,Rome,US,2022-08-06 16:19:55,34.257,-85.1647,90.27,72,75,4.61
248,Quatre Cocos,MU,2022-08-06 16:19:56,-20.2078,57.7625,69.91,73,61,10.27
249,Sturgeon Bay,US,2022-08-06 16:15:50,44.8342,-87.377,84.56,70,0,13.8
250,Magadi,IN,2022-08-06 16:19:56,12.9667,77.2333,75.4,89,100,16.22
251,Balaka,MW,2022-08-06 16:19:56,-14.9793,34.9558,72.82,27,0,2.53
252,Saint-Joseph,RE,2022-08-06 16:19:57,-21.3667,55.6167,68.38,72,53,4.41
